category,description,education,job_market,riasec_artistic,riasec_conventional,riasec_enterprising,riasec_investigative,riasec_realistic,riasec_social,salary_range
HEALTH,"Métier dans le domaine HEALTH, impliquant diverses compétences et responsabilités.",Master,Faible,22,64,90,44,90,34,2000-3000€
ARTS,"Métier dans le domaine ARTS, impliquant diverses compétences et responsabilités.",Doctorat,Faible,40,75,38,25,58,49,5000-7000€
ENGINEERING,"Métier dans le domaine ENGINEERING, impliquant diverses compétences et responsabilités.",Master,Faible,40,45,50,47,76,52,3000-5000€
IT,"Métier dans le domaine IT, impliquant diverses compétences et responsabilités.",Master,Moyen,68,49,95,85,58,62,5000-7000€
BUSINESS,"Métier dans le domaine BUSINESS, impliquant diverses compétences et responsabilités.",Master,Faible,36,25,53,42,36,99,5000-7000€
HEALTH,"Métier dans le domaine HEALTH, impliquant diverses compétences et responsabilités.",Licence,Faible,95,77,76,35,50,39,5000-7000€
HEALTH,"Métier dans le domaine HEALTH, impliquant diverses compétences et responsabilités.",Doctorat,Moyen,100,82,49,31,95,26,3000-5000€
ARTS,"Métier dans le domaine ARTS, impliquant diverses compétences et responsabilités.",Doctorat,Faible,26,35,83,54,40,76,3000-5000€
IT,"Métier dans le domaine IT, impliquant diverses compétences et responsabilités.",Master,Faible,90,50,84,68,79,79,2000-3000€
ENGINEERING,"Métier dans le domaine ENGINEERING, impliquant diverses compétences et responsabilités.",Doctorat,Élevé,68,46,80,71,55,53,5000-7000€
BUSINESS,"Métier dans le domaine BUSINESS, impliquant diverses compétences et responsabilités.",Master,Moyen,36,59,62,33,37,36,2000-3000€
IT,"Métier dans le domaine IT, impliquant diverses compétences et responsabilités.",Licence,Moyen,74,32,86,41,31,89,2000-3000€
HEALTH,"Métier dans le domaine HEALTH, impliquant diverses compétences et responsabilités.",Doctorat,Élevé,87,47,99,77,36,72,5000-7000€
ENGINEERING,"Métier dans le domaine ENGINEERING, impliquant diverses compétences et responsabilités.",Master,Moyen,97,60,94,50,44,75,2000-3000€
HEALTH,"Métier dans le domaine HEALTH, impliquant diverses compétences et responsabilités.",Doctorat,Élevé,67,86,55,66,68,65,2000-3000€
HEALTH,"Métier dans le domaine HEALTH, impliquant diverses compétences et responsabilités.",Doctorat,Élevé,21,40,69,92,98,88,5000-7000€
BUSINESS,"Métier dans le domaine BUSINESS, impliquant diverses compétences et responsabilités.",Doctorat,Moyen,34,70,98,66,35,48,2000-3000€
ARTS,"Métier dans le domaine ARTS, impliquant diverses compétences et responsabilités.",Doctorat,Moyen,83,67,79,24,21,61,5000-7000€
EDUCATION,"Métier dans le domaine EDUCATION, impliquant diverses compétences et responsabilités.",Doctorat,Moyen,69,53,25,70,30,79,2000-3000€
IT,"Métier dans le domaine IT, impliquant diverses compétences et responsabilités.",Doctorat,Faible,76,76,47,43,59,37,5000-7000€
EDUCATION,"Métier dans le domaine EDUCATION, impliquant diverses compétences et responsabilités.",Master,Élevé,24,78,28,33,60,86,5000-7000€
IT,"Métier dans le domaine IT, impliquant diverses compétences et responsabilités.",Doctorat,Élevé,79,89,79,66,21,21,3000-5000€
HEALTH,"Métier dans le domaine HEALTH, impliquant diverses compétences et responsabilités.",Master,Faible,88,40,76,44,38,51,2000-3000€
ENGINEERING,"Métier dans le domaine ENGINEERING, impliquant diverses compétences et responsabilités.",Licence,Faible,74,86,48,91,77,91,2000-3000€
ENGINEERING,"Métier dans le domaine ENGINEERING, impliquant diverses compétences et responsabilités.",Doctorat,Élevé,92,71,98,50,80,90,5000-7000€
ENGINEERING,"Métier dans le domaine ENGINEERING, impliquant diverses compétences et responsabilités.",Doctorat,Moyen,25,98,78,21,95,78,5000-7000€
IT,"Métier dans le domaine IT, impliquant diverses compétences et responsabilités.",Doctorat,Moyen,59,67,27,32,20,28,3000-5000€
ENGINEERING,"Métier dans le domaine ENGINEERING, impliquant diverses compétences et responsabilités.",Master,Élevé,81,63,97,87,67,25,3000-5000€
ENGINEERING,"Métier dans le domaine ENGINEERING, impliquant diverses compétences et responsabilités.",Master,Élevé,40,38,93,71,86,41,5000-7000€
IT,"Métier dans le domaine IT, impliquant diverses compétences et responsabilités.",Licence,Faible,20,68,95,27,44,67,2000-3000€
IT,"Métier dans le domaine IT, impliquant diverses compétences et responsabilités.",Master,Élevé,55,79,61,54,49,41,2000-3000€
HEALTH,"Métier dans le domaine HEALTH, impliquant diverses compétences et responsabilités.",Master,Moyen,26,96,55,90,93,21,2000-3000€
HEALTH,"Métier dans le domaine HEALTH, impliquant diverses compétences et responsabilités.",Licence,Élevé,24,74,74,21,61,53,2000-3000€
EDUCATION,"Métier dans le domaine EDUCATION, impliquant diverses compétences et responsabilités.",Licence,Élevé,97,24,93,91,73,68,5000-7000€
ARTS,"Métier dans le domaine ARTS, impliquant diverses compétences et responsabilités.",Licence,Élevé,20,91,92,84,64,83,2000-3000€
HEALTH,"Métier dans le domaine HEALTH, impliquant diverses compétences et responsabilités.",Licence,Élevé,54,66,48,95,32,80,5000-7000€
EDUCATION,"Métier dans le domaine EDUCATION, impliquant diverses compétences et responsabilités.",Master,Élevé,88,31,51,51,63,20,5000-7000€
HEALTH,"Métier dans le domaine HEALTH, impliquant diverses compétences et responsabilités.",Doctorat,Élevé,82,64,62,52,50,33,5000-7000€
ENGINEERING,"Métier dans le domaine ENGINEERING, impliquant diverses compétences et responsabilités.",Master,Faible,99,81,46,54,68,56,2000-3000€
IT,"Métier dans le domaine IT, impliquant diverses compétences et responsabilités.",Licence,Élevé,54,45,68,38,96,37,5000-7000€
EDUCATION,"Métier dans le domaine EDUCATION, impliquant diverses compétences et responsabilités.",Licence,Élevé,81,20,29,60,62,44,2000-3000€
ARTS,"Métier dans le domaine ARTS, impliquant diverses compétences et responsabilités.",Licence,Faible,30,36,26,100,22,45,3000-5000€
EDUCATION,"Métier dans le domaine EDUCATION, impliquant diverses compétences et responsabilités.",Master,Moyen,55,38,85,60,73,83,2000-3000€
ENGINEERING,"Métier dans le domaine ENGINEERING, impliquant diverses compétences et responsabilités.",Licence,Élevé,21,24,48,29,62,51,2000-3000€
ARTS,"Métier dans le domaine ARTS, impliquant diverses compétences et responsabilités.",Master,Faible,66,80,87,59,94,89,2000-3000€
HEALTH,"Métier dans le domaine HEALTH, impliquant diverses compétences et responsabilités.",Doctorat,Moyen,68,35,39,71,60,68,5000-7000€
HEALTH,"Métier dans le domaine HEALTH, impliquant diverses compétences et responsabilités.",Licence,Moyen,84,95,84,26,51,66,3000-5000€
HEALTH,"Métier dans le domaine HEALTH, impliquant diverses compétences et responsabilités.",Doctorat,Moyen,47,57,67,91,96,93,2000-3000€
BUSINESS,"Métier dans le domaine BUSINESS, impliquant diverses compétences et responsabilités.",Master,Faible,90,69,30,49,64,81,2000-3000€
HEALTH,"Métier dans le domaine HEALTH, impliquant diverses compétences et responsabilités.",Licence,Faible,52,30,99,98,23,27,5000-7000€
EDUCATION,"Métier dans le domaine EDUCATION, impliquant diverses compétences et responsabilités.",Doctorat,Élevé,80,23,67,85,95,79,5000-7000€
ARTS,"Métier dans le domaine ARTS, impliquant diverses compétences et responsabilités.",Licence,Moyen,76,55,94,73,34,40,3000-5000€
HEALTH,"Métier dans le domaine HEALTH, impliquant diverses compétences et responsabilités.",Licence,Élevé,55,75,57,58,67,69,3000-5000€
ENGINEERING,"Métier dans le domaine ENGINEERING, impliquant diverses compétences et responsabilités.",Licence,Faible,70,79,94,61,34,75,3000-5000€
BUSINESS,"Métier dans le domaine BUSINESS, impliquant diverses compétences et responsabilités.",Master,Moyen,87,75,28,73,48,24,5000-7000€
ENGINEERING,"Métier dans le domaine ENGINEERING, impliquant diverses compétences et responsabilités.",Master,Élevé,100,65,77,57,77,21,5000-7000€
ARTS,"Métier dans le domaine ARTS, impliquant diverses compétences et responsabilités.",Doctorat,Faible,91,42,37,100,80,56,2000-3000€
ENGINEERING,"Métier dans le domaine ENGINEERING, impliquant diverses compétences et responsabilités.",Master,Moyen,72,62,93,87,92,96,3000-5000€
ARTS,"Métier dans le domaine ARTS, impliquant diverses compétences et responsabilités.",Master,Faible,60,67,62,77,24,80,2000-3000€
HEALTH,"Métier dans le domaine HEALTH, impliquant diverses compétences et responsabilités.",Master,Faible,91,61,87,61,28,69,2000-3000€
EDUCATION,"Métier dans le domaine EDUCATION, impliquant diverses compétences et responsabilités.",Doctorat,Élevé,48,33,76,32,67,39,3000-5000€
IT,"Métier dans le domaine IT, impliquant diverses compétences et responsabilités.",Master,Élevé,94,94,48,36,37,79,3000-5000€
ARTS,"Métier dans le domaine ARTS, impliquant diverses compétences et responsabilités.",Master,Élevé,23,86,40,54,41,80,5000-7000€
IT,"Métier dans le domaine IT, impliquant diverses compétences et responsabilités.",Doctorat,Moyen,67,62,61,78,34,63,5000-7000€
IT,"Métier dans le domaine IT, impliquant diverses compétences et responsabilités.",Doctorat,Élevé,85,30,71,40,80,32,2000-3000€
BUSINESS,"Métier dans le domaine BUSINESS, impliquant diverses compétences et responsabilités.",Master,Moyen,28,65,93,59,67,93,2000-3000€
ARTS,"Métier dans le domaine ARTS, impliquant diverses compétences et responsabilités.",Master,Moyen,49,72,46,65,96,63,5000-7000€
BUSINESS,"Métier dans le domaine BUSINESS, impliquant diverses compétences et responsabilités.",Licence,Élevé,72,37,70,37,43,53,5000-7000€
ENGINEERING,"Métier dans le domaine ENGINEERING, impliquant diverses compétences et responsabilités.",Doctorat,Moyen,49,51,36,77,32,69,2000-3000€
HEALTH,"Métier dans le domaine HEALTH, impliquant diverses compétences et responsabilités.",Doctorat,Faible,90,56,68,33,86,21,5000-7000€
ARTS,"Métier dans le domaine ARTS, impliquant diverses compétences et responsabilités.",Master,Élevé,39,90,84,60,61,94,2000-3000€
BUSINESS,"Métier dans le domaine BUSINESS, impliquant diverses compétences et responsabilités.",Doctorat,Moyen,21,94,22,22,71,99,5000-7000€
BUSINESS,"Métier dans le domaine BUSINESS, impliquant diverses compétences et responsabilités.",Master,Moyen,84,86,85,38,43,94,2000-3000€
HEALTH,"Métier dans le domaine HEALTH, impliquant diverses compétences et responsabilités.",Doctorat,Moyen,35,41,77,37,87,56,5000-7000€
HEALTH,"Métier dans le domaine HEALTH, impliquant diverses compétences et responsabilités.",Doctorat,Moyen,92,20,45,92,68,47,5000-7000€
BUSINESS,"Métier dans le domaine BUSINESS, impliquant diverses compétences et responsabilités.",Licence,Faible,55,84,49,28,79,57,5000-7000€
BUSINESS,"Métier dans le domaine BUSINESS, impliquant diverses compétences et responsabilités.",Licence,Faible,71,47,53,76,31,43,5000-7000€
ARTS,"Métier dans le domaine ARTS, impliquant diverses compétences et responsabilités.",Licence,Moyen,66,66,45,22,97,26,2000-3000€
ENGINEERING,"Métier dans le domaine ENGINEERING, impliquant diverses compétences et responsabilités.",Licence,Élevé,56,77,55,27,89,72,2000-3000€
BUSINESS,"Métier dans le domaine BUSINESS, impliquant diverses compétences et responsabilités.",Master,Élevé,61,65,81,82,71,44,2000-3000€
ENGINEERING,"Métier dans le domaine ENGINEERING, impliquant diverses compétences et responsabilités.",Doctorat,Élevé,38,66,26,71,86,62,3000-5000€
ARTS,"Métier dans le domaine ARTS, impliquant diverses compétences et responsabilités.",Doctorat,Élevé,61,79,53,42,56,44,3000-5000€
BUSINESS,"Métier dans le domaine BUSINESS, impliquant diverses compétences et responsabilités.",Master,Élevé,67,68,66,79,100,99,5000-7000€
ENGINEERING,"Métier dans le domaine ENGINEERING, impliquant diverses compétences et responsabilités.",Licence,Faible,74,20,96,74,67,23,3000-5000€
EDUCATION,"Métier dans le domaine EDUCATION, impliquant diverses compétences et responsabilités.",Master,Élevé,22,37,80,96,50,69,3000-5000€
BUSINESS,"Métier dans le domaine BUSINESS, impliquant diverses compétences et responsabilités.",Doctorat,Faible,77,20,46,29,42,32,2000-3000€
EDUCATION,"Métier dans le domaine EDUCATION, impliquant diverses compétences et responsabilités.",Master,Faible,96,40,26,40,42,86,5000-7000€
ENGINEERING,"Métier dans le domaine ENGINEERING, impliquant diverses compétences et responsabilités.",Doctorat,Élevé,73,74,79,64,48,29,2000-3000€
BUSINESS,"Métier dans le domaine BUSINESS, impliquant diverses compétences et responsabilités.",Licence,Moyen,28,97,98,28,82,56,3000-5000€
ENGINEERING,"Métier dans le domaine ENGINEERING, impliquant diverses compétences et responsabilités.",Doctorat,Moyen,25,61,71,33,29,84,5000-7000€
ENGINEERING,"Métier dans le domaine ENGINEERING, impliquant diverses compétences et responsabilités.",Master,Faible,98,39,23,31,29,21,5000-7000€
BUSINESS,"Métier dans le domaine BUSINESS, impliquant diverses compétences et responsabilités.",Licence,Moyen,59,87,54,92,20,51,2000-3000€
HEALTH,"Métier dans le domaine HEALTH, impliquant diverses compétences et responsabilités.",Licence,Élevé,58,25,72,56,67,80,2000-3000€
ENGINEERING,"Métier dans le domaine ENGINEERING, impliquant diverses compétences et responsabilités.",Doctorat,Faible,33,95,80,23,52,81,2000-3000€
EDUCATION,"Métier dans le domaine EDUCATION, impliquant diverses compétences et responsabilités.",Licence,Moyen,85,87,26,48,67,89,5000-7000€
IT,"Métier dans le domaine IT, impliquant diverses compétences et responsabilités.",Master,Moyen,23,89,37,89,69,34,3000-5000€
BUSINESS,"Métier dans le domaine BUSINESS, impliquant diverses compétences et responsabilités.",Licence,Faible,38,81,29,40,53,76,3000-5000€
HEALTH,"Métier dans le domaine HEALTH, impliquant diverses compétences et responsabilités.",Licence,Élevé,53,20,81,21,66,72,5000-7000€
EDUCATION,"Métier dans le domaine EDUCATION, impliquant diverses compétences et responsabilités.",Doctorat,Moyen,98,86,95,43,70,32,2000-3000€
ARTS,"Métier dans le domaine ARTS, impliquant diverses compétences et responsabilités.",Doctorat,Moyen,59,92,71,26,27,70,2000-3000€
EDUCATION,"Métier dans le domaine EDUCATION, impliquant diverses compétences et responsabilités.",Doctorat,Faible,22,49,97,89,81,60,2000-3000€
ARTS,"Métier dans le domaine ARTS, impliquant diverses compétences et responsabilités.",Licence,Élevé,90,31,37,46,30,62,2000-3000€
IT,"Métier dans le domaine IT, impliquant diverses compétences et responsabilités.",Licence,Faible,62,53,38,66,54,41,2000-3000€
BUSINESS,"Métier dans le domaine BUSINESS, impliquant diverses compétences et responsabilités.",Licence,Moyen,23,80,44,37,81,25,5000-7000€
BUSINESS,"Métier dans le domaine BUSINESS, impliquant diverses compétences et responsabilités.",Doctorat,Faible,70,77,67,62,81,86,2000-3000€
IT,"Métier dans le domaine IT, impliquant diverses compétences et responsabilités.",Doctorat,Élevé,63,23,97,98,55,100,5000-7000€
IT,"Métier dans le domaine IT, impliquant diverses compétences et responsabilités.",Master,Élevé,93,35,40,100,42,42,3000-5000€
BUSINESS,"Métier dans le domaine BUSINESS, impliquant diverses compétences et responsabilités.",Doctorat,Faible,40,91,48,25,87,30,2000-3000€
IT,"Métier dans le domaine IT, impliquant diverses compétences et responsabilités.",Master,Faible,64,48,88,54,28,57,2000-3000€
ARTS,"Métier dans le domaine ARTS, impliquant diverses compétences et responsabilités.",Master,Élevé,32,43,29,77,23,75,2000-3000€
ARTS,"Métier dans le domaine ARTS, impliquant diverses compétences et responsabilités.",Master,Faible,67,100,73,91,71,25,5000-7000€
EDUCATION,"Métier dans le domaine EDUCATION, impliquant diverses compétences et responsabilités.",Licence,Moyen,82,27,58,51,24,26,3000-5000€
HEALTH,"Métier dans le domaine HEALTH, impliquant diverses compétences et responsabilités.",Doctorat,Élevé,65,37,50,97,43,79,5000-7000€
ARTS,"Métier dans le domaine ARTS, impliquant diverses compétences et responsabilités.",Doctorat,Élevé,70,64,21,48,82,73,3000-5000€
ENGINEERING,"Métier dans le domaine ENGINEERING, impliquant diverses compétences et responsabilités.",Doctorat,Moyen,62,81,59,53,22,79,3000-5000€
IT,"Métier dans le domaine IT, impliquant diverses compétences et responsabilités.",Master,Élevé,97,93,58,41,84,72,3000-5000€
EDUCATION,"Métier dans le domaine EDUCATION, impliquant diverses compétences et responsabilités.",Master,Élevé,23,72,86,67,76,84,3000-5000€
ENGINEERING,"Métier dans le domaine ENGINEERING, impliquant diverses compétences et responsabilités.",Master,Moyen,38,22,27,37,82,36,5000-7000€
EDUCATION,"Métier dans le domaine EDUCATION, impliquant diverses compétences et responsabilités.",Master,Faible,31,37,60,44,21,68,5000-7000€
IT,"Métier dans le domaine IT, impliquant diverses compétences et responsabilités.",Licence,Moyen,56,61,83,48,24,63,2000-3000€
IT,"Métier dans le domaine IT, impliquant diverses compétences et responsabilités.",Master,Élevé,43,75,59,93,75,55,2000-3000€
ARTS,"Métier dans le domaine ARTS, impliquant diverses compétences et responsabilités.",Licence,Faible,30,24,49,74,40,89,5000-7000€
ARTS,"Métier dans le domaine ARTS, impliquant diverses compétences et responsabilités.",Master,Faible,43,32,99,45,69,29,3000-5000€
ARTS,"Métier dans le domaine ARTS, impliquant diverses compétences et responsabilités.",Master,Élevé,34,96,84,71,21,30,5000-7000€
ENGINEERING,"Métier dans le domaine ENGINEERING, impliquant diverses compétences et responsabilités.",Master,Faible,80,64,96,46,97,42,5000-7000€
ENGINEERING,"Métier dans le domaine ENGINEERING, impliquant diverses compétences et responsabilités.",Licence,Faible,28,26,22,54,39,55,3000-5000€
HEALTH,"Métier dans le domaine HEALTH, impliquant diverses compétences et responsabilités.",Licence,Faible,40,100,71,37,48,79,2000-3000€
ENGINEERING,"Métier dans le domaine ENGINEERING, impliquant diverses compétences et responsabilités.",Licence,Faible,40,86,23,27,88,83,2000-3000€
ENGINEERING,"Métier dans le domaine ENGINEERING, impliquant diverses compétences et responsabilités.",Licence,Faible,44,73,99,88,97,45,2000-3000€
BUSINESS,"Métier dans le domaine BUSINESS, impliquant diverses compétences et responsabilités.",Doctorat,Élevé,38,72,62,68,82,56,2000-3000€
BUSINESS,"Métier dans le domaine BUSINESS, impliquant diverses compétences et responsabilités.",Master,Élevé,83,52,48,69,58,95,5000-7000€
BUSINESS,"Métier dans le domaine BUSINESS, impliquant diverses compétences et responsabilités.",Licence,Moyen,32,59,87,48,79,98,2000-3000€
ENGINEERING,"Métier dans le domaine ENGINEERING, impliquant diverses compétences et responsabilités.",Licence,Moyen,69,92,98,81,51,45,2000-3000€
ARTS,"Métier dans le domaine ARTS, impliquant diverses compétences et responsabilités.",Master,Faible,23,45,55,87,25,22,3000-5000€
HEALTH,"Métier dans le domaine HEALTH, impliquant diverses compétences et responsabilités.",Doctorat,Moyen,55,20,78,36,69,86,5000-7000€
HEALTH,"Métier dans le domaine HEALTH, impliquant diverses compétences et responsabilités.",Doctorat,Élevé,81,72,40,100,67,77,5000-7000€
HEALTH,"Métier dans le domaine HEALTH, impliquant diverses compétences et responsabilités.",Master,Moyen,83,67,69,99,92,32,3000-5000€
BUSINESS,"Métier dans le domaine BUSINESS, impliquant diverses compétences et responsabilités.",Master,Moyen,77,49,65,77,95,46,2000-3000€
IT,"Métier dans le domaine IT, impliquant diverses compétences et responsabilités.",Licence,Faible,25,77,97,59,69,57,2000-3000€
EDUCATION,"Métier dans le domaine EDUCATION, impliquant diverses compétences et responsabilités.",Licence,Élevé,37,25,89,75,98,90,5000-7000€
IT,"Métier dans le domaine IT, impliquant diverses compétences et responsabilités.",Master,Moyen,93,59,46,93,32,42,5000-7000€
ARTS,"Métier dans le domaine ARTS, impliquant diverses compétences et responsabilités.",Master,Faible,77,34,47,72,62,88,5000-7000€
ENGINEERING,"Métier dans le domaine ENGINEERING, impliquant diverses compétences et responsabilités.",Master,Moyen,70,28,93,78,45,29,3000-5000€
HEALTH,"Métier dans le domaine HEALTH, impliquant diverses compétences et responsabilités.",Doctorat,Faible,70,46,26,58,23,85,2000-3000€
HEALTH,"Métier dans le domaine HEALTH, impliquant diverses compétences et responsabilités.",Doctorat,Moyen,74,62,21,56,73,27,3000-5000€
HEALTH,"Métier dans le domaine HEALTH, impliquant diverses compétences et responsabilités.",Doctorat,Élevé,23,87,86,93,80,91,5000-7000€
HEALTH,"Métier dans le domaine HEALTH, impliquant diverses compétences et responsabilités.",Doctorat,Élevé,65,45,55,62,80,41,2000-3000€
HEALTH,"Métier dans le domaine HEALTH, impliquant diverses compétences et responsabilités.",Master,Moyen,50,78,52,58,43,54,5000-7000€
IT,"Métier dans le domaine IT, impliquant diverses compétences et responsabilités.",Master,Moyen,81,45,21,61,83,94,2000-3000€
HEALTH,"Métier dans le domaine HEALTH, impliquant diverses compétences et responsabilités.",Licence,Faible,92,54,76,51,57,62,3000-5000€
EDUCATION,"Métier dans le domaine EDUCATION, impliquant diverses compétences et responsabilités.",Master,Moyen,55,90,58,94,74,92,2000-3000€
ARTS,"Métier dans le domaine ARTS, impliquant diverses compétences et responsabilités.",Doctorat,Faible,85,49,58,75,34,26,2000-3000€
IT,"Métier dans le domaine IT, impliquant diverses compétences et responsabilités.",Licence,Moyen,78,95,50,97,62,38,2000-3000€
IT,"Métier dans le domaine IT, impliquant diverses compétences et responsabilités.",Licence,Moyen,59,94,70,23,80,96,5000-7000€
IT,"Métier dans le domaine IT, impliquant diverses compétences et responsabilités.",Licence,Élevé,50,42,96,97,35,70,3000-5000€
HEALTH,"Métier dans le domaine HEALTH, impliquant diverses compétences et responsabilités.",Master,Faible,98,93,54,47,46,97,5000-7000€
HEALTH,"Métier dans le domaine HEALTH, impliquant diverses compétences et responsabilités.",Master,Moyen,97,37,56,82,72,88,3000-5000€
HEALTH,"Métier dans le domaine HEALTH, impliquant diverses compétences et responsabilités.",Doctorat,Élevé,54,37,24,98,62,42,3000-5000€
ARTS,"Métier dans le domaine ARTS, impliquant diverses compétences et responsabilités.",Master,Moyen,80,96,77,81,70,50,3000-5000€
